Attack metrics report
Dataset: spambase
Attack: fgsm
epsilon=0.03

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 1717/2058
ASR (among correct): 0.8343

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.03

Changed samples among successful attacks: 1717/1717
Max |delta| among successful attacks: 0.03

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0179671 median=0.0173684 min=0.0142105 max=0.0254148
  RMSE : mean=0.0229747 median=0.0226665 min=0.0206474 max=0.0274685
  L1   : mean=1.02413 median=0.99 min=0.81 max=1.44865
  L2   : mean=0.173455 median=0.171128 min=0.155885 max=0.207383
  Linf : mean=0.03 median=0.03 min=0.03 max=0.03

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0265955 mean|diff|=0.0107869 max|diff|=0.0147368
  RMSE : orig_mean=0.0514402 adv_mean=0.0534496 mean|diff|=0.00580117 max|diff|=0.0210263
  L1   : orig_mean=0.901089 adv_mean=1.51594 mean|diff|=0.614854 max|diff|=0.84
  L2   : orig_mean=0.388365 adv_mean=0.403535 mean|diff|=0.0437979 max|diff|=0.158745
  Linf : orig_mean=0.281171 adv_mean=0.271818 mean|diff|=0.0280509 max|diff|=0.03

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0139069 adv_mean=0.0248293 mean|diff|=0.0109225 max|diff|=0.0147368
  RMSE : orig_mean=0.0432464 adv_mean=0.046431 mean|diff|=0.00616951 max|diff|=0.0210263
  L1   : orig_mean=0.792692 adv_mean=1.41527 mean|diff|=0.622581 max|diff|=0.84
  L2   : orig_mean=0.326503 adv_mean=0.350547 mean|diff|=0.0465788 max|diff|=0.158745
  Linf : orig_mean=0.22995 adv_mean=0.224179 mean|diff|=0.0278179 max|diff|=0.03

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.0216138,0.024981,1.23199,0.188603,0.03
3,1,1,0.0229833,0.0255978,1.31005,0.193259,0.03
4,1,1,0.0170793,0.0222172,0.973518,0.167736,0.03
5,1,1,0.0172541,0.0226922,0.983482,0.171323,0.03
6,1,1,0.0147368,0.0210263,0.84,0.158745,0.03
7,1,1,0.0157895,0.0217643,0.9,0.164317,0.03
8,1,1,0.0192303,0.0237036,1.09612,0.178958,0.03
9,1,1,0.019618,0.0240065,1.11823,0.181245,0.03
10,1,1,0.0180207,0.0231804,1.02718,0.175008,0.03
11,1,1,0.0147368,0.0210263,0.84,0.158745,0.03
12,1,1,0.0171734,0.02253,0.978886,0.170097,0.03
13,1,1,0.0209264,0.0248675,1.19281,0.187746,0.03
14,1,1,0.0192494,0.0236414,1.09722,0.178488,0.03
15,1,1,0.0157895,0.0217643,0.9,0.164317,0.03
17,1,1,0.0177153,0.0224427,1.00977,0.169438,0.03
18,0,1,0.0193992,0.0239667,1.10576,0.180945,0.03
19,1,1,0.0217567,0.0252249,1.24013,0.190444,0.03
20,1,1,0.0168421,0.0224781,0.96,0.169706,0.03
21,1,1,0.0163158,0.0221241,0.93,0.167033,0.03
22,1,1,0.0185209,0.0233881,1.05569,0.176576,0.03
23,1,1,0.0156846,0.0215363,0.894022,0.162595,0.03
24,1,1,0.0232009,0.0259901,1.32245,0.196221,0.03
25,1,1,0.017535,0.022592,0.999496,0.170566,0.03
26,0,1,0.025083,0.027192,1.42973,0.205295,0.03
27,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
28,0,1,0.0152632,0.0213985,0.87,0.161555,0.03
29,1,1,0.0200895,0.0243305,1.1451,0.183691,0.03
30,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
31,1,1,0.0206996,0.024655,1.17988,0.186141,0.03
33,1,1,0.017974,0.0229055,1.02452,0.172933,0.03
35,1,1,0.0157895,0.0217643,0.9,0.164317,0.03
36,0,1,0.0235292,0.0259527,1.34116,0.195938,0.03
37,1,1,0.0150201,0.0210619,0.856145,0.159013,0.03
38,1,1,0.0165982,0.0222266,0.946099,0.167807,0.03
39,1,1,0.0147368,0.0210263,0.84,0.158745,0.03
40,1,1,0.0157895,0.0217643,0.9,0.164317,0.03
41,1,1,0.0173684,0.0228266,0.99,0.172337,0.03
42,1,1,0.0199575,0.0243133,1.13757,0.183562,0.03
43,1,1,0.0163385,0.0219608,0.931293,0.1658,0.03
44,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
45,1,1,0.0214579,0.0253168,1.2231,0.191138,0.03
46,1,1,0.0178947,0.0231699,1.02,0.174929,0.03
47,1,1,0.0223825,0.0251969,1.2758,0.190233,0.03
48,1,1,0.0174834,0.0228333,0.996556,0.172387,0.03
49,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
50,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
51,0,1,0.0193817,0.0239401,1.10476,0.180744,0.03
