Attack metrics report
Dataset: spambase
Attack: fgsm
epsilon=0.07

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2042/2058
ASR (among correct): 0.9922

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.07

Changed samples among successful attacks: 2042/2042
Max |delta| among successful attacks: 0.07

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0400563 median=0.0389731 min=0.0331579 max=0.0544743
  RMSE : mean=0.0521832 median=0.0516228 min=0.0481773 max=0.061006
  L1   : mean=2.28321 median=2.22147 min=1.89 max=3.10503
  L2   : mean=0.393975 median=0.389744 min=0.363731 max=0.460585
  Linf : mean=0.07 median=0.07 min=0.07 max=0.07

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0428446 mean|diff|=0.027036 max|diff|=0.034386
  RMSE : orig_mean=0.0514402 adv_mean=0.0686012 mean|diff|=0.0184953 max|diff|=0.0490614
  L1   : orig_mean=0.901089 adv_mean=2.44214 mean|diff|=1.54105 max|diff|=1.96
  L2   : orig_mean=0.388365 adv_mean=0.517928 mean|diff|=0.139637 max|diff|=0.370405
  Linf : orig_mean=0.281171 adv_mean=0.269878 mean|diff|=0.0606307 max|diff|=0.07

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0154242 adv_mean=0.0425011 mean|diff|=0.0270769 max|diff|=0.034386
  RMSE : orig_mean=0.0503325 adv_mean=0.0677352 mean|diff|=0.018533 max|diff|=0.0490614
  L1   : orig_mean=0.879179 adv_mean=2.42256 mean|diff|=1.54339 max|diff|=1.96
  L2   : orig_mean=0.380002 adv_mean=0.511389 mean|diff|=0.139921 max|diff|=0.370405
  Linf : orig_mean=0.276546 adv_mean=0.265713 mean|diff|=0.0605573 max|diff|=0.07

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.0452721,0.0545534,2.58051,0.411869,0.07
3,1,1,0.0489645,0.0569446,2.79098,0.429922,0.07
4,1,1,0.0370146,0.0497987,2.10983,0.375972,0.07
5,1,1,0.0397025,0.0525307,2.26304,0.396598,0.07
6,1,1,0.034386,0.0490614,1.96,0.370405,0.07
7,1,1,0.0363512,0.050239,2.07202,0.379296,0.07
8,1,1,0.0425811,0.0537713,2.42712,0.405964,0.07
9,1,1,0.0436471,0.0544742,2.48788,0.411271,0.07
10,1,1,0.0418803,0.0540675,2.38718,0.408201,0.07
11,1,1,0.034386,0.0490614,1.96,0.370405,0.07
12,1,1,0.0381084,0.050856,2.17218,0.383954,0.07
13,1,1,0.0444727,0.0542884,2.53495,0.409868,0.07
14,1,1,0.0423323,0.0534692,2.41294,0.403683,0.07
15,1,1,0.0363142,0.0502088,2.06991,0.379068,0.07
17,1,1,0.0380995,0.0504066,2.17167,0.380562,0.07
18,1,1,0.0435098,0.0545229,2.48006,0.411639,0.07
19,1,1,0.0461277,0.0551966,2.62928,0.416725,0.07
20,1,1,0.0379171,0.0509725,2.16127,0.384834,0.07
21,1,1,0.0374915,0.0510195,2.13702,0.385189,0.07
22,1,1,0.0419572,0.053702,2.39156,0.405442,0.07
23,1,1,0.0360355,0.049989,2.05402,0.377409,0.07
24,1,1,0.0484512,0.0562977,2.76172,0.425038,0.07
25,1,1,0.0381152,0.0506033,2.17257,0.382047,0.07
26,1,1,0.0525252,0.058608,2.99393,0.442481,0.07
27,1,1,0.035614,0.0499298,2.03,0.376962,0.07
28,1,1,0.035614,0.0499298,2.03,0.376962,0.07
29,1,1,0.0441016,0.0544769,2.51379,0.411292,0.07
30,1,1,0.035614,0.0499298,2.03,0.376962,0.07
31,1,1,0.0452429,0.055221,2.57885,0.416909,0.07
33,1,1,0.0386039,0.0507335,2.20042,0.383029,0.07
35,1,1,0.0364582,0.0503349,2.07812,0.38002,0.07
36,1,1,0.0505162,0.0578994,2.87943,0.437131,0.07
37,1,1,0.0346692,0.0490766,1.97614,0.37052,0.07
38,1,1,0.0383526,0.0516668,2.1861,0.390076,0.07
39,1,1,0.034386,0.0490614,1.96,0.370405,0.07
40,1,1,0.0362491,0.0501594,2.0662,0.378695,0.07
41,1,1,0.0393389,0.0520749,2.24232,0.393157,0.07
42,1,1,0.0427579,0.0533412,2.4372,0.402717,0.07
43,1,1,0.0369984,0.0504119,2.10891,0.380601,0.07
44,1,1,0.035614,0.0499298,2.03,0.376962,0.07
45,1,1,0.0468865,0.0561763,2.67253,0.424121,0.07
46,1,1,0.0402732,0.0525439,2.29557,0.396698,0.07
47,1,1,0.0462298,0.0546957,2.6351,0.412943,0.07
48,1,1,0.0406413,0.0532649,2.31656,0.402141,0.07
49,1,1,0.035614,0.0499298,2.03,0.376962,0.07
50,1,1,0.035614,0.0499298,2.03,0.376962,0.07
51,1,1,0.0430815,0.0542049,2.45565,0.409238,0.07
52,1,1,0.0388118,0.0508543,2.21227,0.383942,0.07
53,1,1,0.0349968,0.0491978,1.99481,0.371435,0.07
54,1,1,0.0365658,0.0500951,2.08425,0.37821,0.07
55,1,1,0.034386,0.0490614,1.96,0.370405,0.07
56,1,1,0.0389318,0.0513242,2.21911,0.387489,0.07
57,1,1,0.0416567,0.0539389,2.37443,0.40723,0.07
58,1,1,0.0365269,0.0503077,2.08203,0.379815,0.07
59,1,1,0.0437151,0.0533551,2.49176,0.402822,0.07
60,1,1,0.034386,0.0490614,1.96,0.370405,0.07
61,1,1,0.0427419,0.0538467,2.43629,0.406534,0.07
62,1,1,0.0414227,0.0536264,2.36109,0.40487,0.07
63,1,1,0.0424013,0.054173,2.41687,0.408997,0.07
64,1,1,0.034386,0.0490614,1.96,0.370405,0.07
65,1,1,0.0393006,0.0520407,2.24013,0.392899,0.07
67,1,1,0.035614,0.0499298,2.03,0.376962,0.07
68,1,1,0.0431859,0.0543591,2.4616,0.410402,0.07
69,1,1,0.0365942,0.0500442,2.08587,0.377825,0.07
70,1,1,0.0422973,0.0529614,2.41095,0.39985,0.07
71,1,1,0.034386,0.0490614,1.96,0.370405,0.07
72,1,1,0.0498522,0.0583766,2.84157,0.440734,0.07
73,1,1,0.0368421,0.0507833,2.1,0.383406,0.07
75,1,1,0.034386,0.0490614,1.96,0.370405,0.07
76,1,1,0.0491324,0.0567987,2.80055,0.428821,0.07
77,1,1,0.0454481,0.0546636,2.59054,0.412701,0.07
78,1,1,0.0368642,0.0507834,2.10126,0.383407,0.07
79,1,1,0.0404394,0.0517387,2.30505,0.390619,0.07
81,1,1,0.0401336,0.052656,2.28762,0.397544,0.07
82,1,1,0.0366921,0.0498895,2.09145,0.376657,0.07
83,1,1,0.0390782,0.0517258,2.22746,0.390521,0.07
84,1,1,0.0419471,0.0527944,2.39099,0.398589,0.07
85,1,1,0.0489264,0.0584141,2.78881,0.441017,0.07
86,1,1,0.0442504,0.0539393,2.52227,0.407233,0.07
87,1,1,0.0480731,0.0567402,2.74017,0.428379,0.07
88,1,1,0.0493791,0.0565064,2.81461,0.426614,0.07
89,1,1,0.0332035,0.0481777,1.8926,0.363734,0.07
90,1,1,0.0349347,0.049236,1.99128,0.371724,0.07
91,1,1,0.0422365,0.0535919,2.40748,0.40461,0.07
92,1,1,0.0434031,0.0546092,2.47398,0.412291,0.07
93,1,1,0.0498331,0.0564136,2.84048,0.425913,0.07
94,1,1,0.0459591,0.0559341,2.61967,0.422293,0.07
95,1,1,0.0356777,0.0495437,2.03363,0.374047,0.07
96,1,1,0.0432643,0.053783,2.46607,0.406053,0.07
97,1,1,0.0376497,0.0509668,2.14603,0.384791,0.07
98,1,1,0.0447355,0.0548229,2.54992,0.413904,0.07
99,1,1,0.0361286,0.0500807,2.05933,0.378101,0.07
100,1,1,0.0401535,0.0512021,2.28875,0.386567,0.07
101,1,1,0.0396604,0.052257,2.26064,0.394532,0.07
102,1,1,0.035614,0.0499298,2.03,0.376962,0.07
103,1,1,0.044718,0.0547403,2.54892,0.41328,0.07
104,1,1,0.0387581,0.0507571,2.20921,0.383207,0.07
105,1,1,0.0377359,0.0512061,2.15095,0.386597,0.07
106,1,1,0.0393053,0.0518208,2.2404,0.391239,0.07
107,1,1,0.0375465,0.051061,2.14015,0.385502,0.07
